Question,Option A,Option B,Option C,Answer
What is the capital of France?,Paris,Berlin,London,Paris
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mars
In what year did Christopher Columbus reach the Americas?,1492,1620,1776,1492
What is the largest mammal in the world?,Blue Whale,Elephant,Giraffe,Blue Whale
Who wrote "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Jane Austen,William Shakespeare
What is the chemical symbol for gold?,Au,Ag,Hg,Au
Which country is known as the Land of the Rising Sun?,Japan,China,Korea,Japan
What is the currency of Brazil?,Brazilian Real,Peso,Yen,Brazilian Real
In what year did World War II end?,1945,1918,1939,1945
What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Pacific Ocean
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci
What is the capital of Japan?,Tokyo,Seoul,Beijing,Tokyo
Which element has the chemical symbol O?,Oxygen,Gold,Iron,Oxygen
Who was the first President of the United States?,George Washington,Thomas Jefferson,Abraham Lincoln,George Washington
What is the main ingredient in guacamole?,Avocado,Tomato,Onion,Avocado
Which famous scientist developed the theory of general relativity?,Albert Einstein,Isaac Newton,Galileo Galilei,Albert Einstein
What is the largest desert in the world?,Antarctica,Sahara,Arabian, Antarctica
Who wrote "To Kill a Mockingbird"?,Harper Lee,Mark Twain,John Steinbeck,Harper Lee
Which gas do plants absorb from the atmosphere during photosynthesis?,Carbon Dioxide,Oxygen,Nitrogen,Carbon Dioxide
What is the capital of Australia?,Canberra,Sydney,Melbourne,Canberra
In what year did the Titanic sink?,1912,1901,1923,1912
What is the smallest prime number?,2,1,3,2
Who is known as the "Father of Computer Science"?,Alan Turing,Charles Babbage,Ada Lovelace,Alan Turing
What is the largest bird in the world?,Ostrich,Emu,Penguin,Ostrich
Which planet is known as the "Blue Planet"?,Earth,Mars,Neptune,Earth
What is the currency of China?,Renminbi,Dollar,Yen,Renminbi
Who painted the Sistine Chapel ceiling?,Michelangelo,Leonardo da Vinci,Raphael,Michelangelo
Which element has the chemical symbol Fe?,Iron,Silver,Gold,Iron
What is the speed of light?,299,792 kilometers per second,100,000 kilometers per second,500,000 kilometers per second,299,792 kilometers per second
Who is the author of the Harry Potter series?,J.K. Rowling,George R.R. Martin,Stephen King,J.K. Rowling
Which country is known as the Land Down Under?,Australia,New Zealand,South Africa,Australia
What is the largest island in the world?,Greenland,Australia,Madagascar,Greenland
Who wrote "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,George Orwell
What is the capital of Canada?,Ottawa,Toronto,Montreal,Ottawa
In what year did the Berlin Wall fall?,1989,1991,1985,1989
What is the currency of Japan?,Yen,Dollar,Euro,Yen
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Alexander Fleming
What is the square root of 64?,8,6,10,8
What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Jupiter
Who is the Greek god of thunder?,Zeus,Poseidon,Hades,Zeus
What is the capital of South Korea?,Seoul,Beijing,Tokyo,Seoul
Which country is known as the Land of Fire and Ice?,Iceland,Greenland,New Zealand,Iceland
What is the chemical symbol for water?,H2O,CO2,O2,H2O
Who wrote "The Great Gatsby"?,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,F. Scott Fitzgerald
What is the main ingredient in hummus?,Chickpeas,Lentils,Black beans,Chickpeas
Which planet is known as the Evening Star or the Morning Star?,Venus,Mars,Jupiter,Venus
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Dorothy Crowfoot Hodgkin,Marie Curie
What is the capital of Germany?,Berlin,Munich,Hamburg,Berlin
What is the currency of Russia?,Russian Ruble,Dollar,Euro,Russian Ruble
Who wrote "The Catcher in the Rye"?,J.D. Salinger,John Steinbeck,Ernest Hemingway,J.D. Salinger
What is the chemical symbol for silver?,Ag,Au,Cu,Ag
What is the smallest country in the world?,Vatican City,Monaco,San Marino,Vatican City
Who is known as the "Queen of Pop"?,Madonna,Beyoncé,Rihanna,Madonna
What is the capital of India?,New Delhi,Mumbai,Bangalore,New Delhi
Which country is known as the Land of the Rising Sun?,Japan,China,Korea,Japan
What is the largest mountain range in the world?,The Himalayas,The Rockies,The Alps,The Himalayas
Who is the author of "The Hobbit"?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,J.R.R. Tolkien
What is the chemical symbol for nitrogen?,N2,NO2,N,N2
Which element has the chemical symbol C?,Carbon,Calcium,Copper,Carbon
Who painted the Starry Night?,Vincent van Gogh,Pablo Picasso,Claude Monet,Vincent van Gogh
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Brasília
In what year did the United States declare independence?,1776,1789,1801,1776
What is the main ingredient in salsa?,Tomatoes,Onions,Peppers,Tomatoes
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mars
Who is the author of "Pride and Prejudice"?,Jane Austen,Charlotte Brontë,Emily Brontë,Jane Austen
What is the capital of China?,Beijing,Shanghai,Hong Kong,Beijing
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Beryl Markham,Harriet Quimby,Amelia Earhart
What is the largest river in the world by discharge?,Amazon River,Nile River,Yangtze River,Amazon River
Which gas makes up the majority of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Nitrogen
Who discovered America in 1492?,Christopher Columbus,Amerigo Vespucci,John Cabot,Christopher Columbus
What is the currency of the United Kingdom?,British Pound,Euro,Dollar,British Pound
Who wrote "The Odyssey"?,Homer,Virgil,Herodotus,Homer
What is the chemical symbol for potassium?,K,Na,Ca,K
What is the capital of South Africa?,Pretoria,Cape Town,Johannesburg,Pretoria
In what year did the first manned moon landing occur?,1969,1971,1961,1969
What is the largest animal on Earth?,Blue Whale,Elephant,Giraffe,Blue Whale
Who is the author of "The Lord of the Rings" trilogy?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,J.R.R. Tolkien
What is the capital of Mexico?,Mexico City,Cancun,Guadalajara,Mexico City
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Mars
Who painted the Last Supper?,Leonardo da Vinci,Michelangelo,Raphael,Leonardo da Vinci
What is the chemical symbol for gold?,Au,Ag,Hg,Au
What is the capital of France?,Paris,Berlin,London,Paris
Which country is known as the Land of the Rising Sun?,Japan,China,Korea,Japan
What is the currency of Brazil?,Brazilian Real,Peso,Yen,Brazilian Real
In what year did Christopher Columbus reach the Americas?,1492,1620,1776,1492
What is the largest mammal in the world?,Blue Whale,Elephant,Giraffe,Blue Whale
Who wrote "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Jane Austen,William Shakespeare
What is the chemical symbol for gold?,Au,Ag,Hg,Au
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mars
In what year did Christopher Columbus reach the Americas?,1492,1620,1776,1492
What is the largest mammal in the world?,Blue Whale,Elephant,Giraffe,Blue Whale
Who wrote "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Jane Austen,William Shakespeare
What is the chemical symbol for gold?,Au,Ag,Hg,Au
Which country is known as the Land of the Rising Sun?,Japan,China,Korea,Japan
What is the currency of Brazil?,Brazilian Real,Peso,Yen,Brazilian Real
In what year did World War II end?,1945,1918,1939,1945
What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Pacific Ocean
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci
What is the capital of Japan?,Tokyo,Seoul,Beijing,Tokyo
Which element has the chemical symbol O?,Oxygen,Gold,Iron,Oxygen
Who was the first President of the United States?,George Washington,Thomas Jefferson,Abraham Lincoln,George Washington
What is the largest desert in the world?,Antarctica,Sahara,Arabian, Antarctica
Who wrote "To Kill a Mockingbird"?,Harper Lee,Mark Twain,John Steinbeck,Harper Lee
Which gas do plants absorb from the atmosphere during photosynthesis?,Carbon Dioxide,Oxygen,Nitrogen,Carbon Dioxide
What is the capital of Australia?,Canberra,Sydney,Melbourne,Canberra
In what year did the Titanic sink?,1912,1901,1923,1912
What is the smallest prime number?,2,1,3,2
Who is known as the "Father of Computer Science"?,Alan Turing,Charles Babbage,Ada Lovelace,Alan Turing
What is the largest bird in the world?,Ostrich,Emu,Penguin,Ostrich
Which planet is known as the "Blue Planet"?,Earth,Mars,Neptune,Earth
What is the currency of China?,Renminbi,Dollar,Yen,Renminbi
Who painted the Sistine Chapel ceiling?,Michelangelo,Leonardo da Vinci,Raphael,Michelangelo
Which element has the chemical symbol Fe?,Iron,Silver,Gold,Iron
What is the speed of light?,299,792 kilometers per second,100,000 kilometers per second,500,000 kilometers per second,299,792 kilometers per second
Who is the author of the Harry Potter series?,J.K. Rowling,George R.R. Martin,Stephen King,J.K. Rowling
Which country is known as the Land Down Under?,Australia,New Zealand,South Africa,Australia
What is the largest island in the world?,Greenland,Australia,Madagascar,Greenland
Who wrote "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,George Orwell
What is the capital of Canada?,Ottawa,Toronto,Montreal,Ottawa
In what year did the Berlin Wall fall?,1989,1991,1985,1989
What is the currency of Japan?,Yen,Dollar,Euro,Yen
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Alexander Fleming
What is the square root of 64?,8,6,10,8
What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Jupiter
Who is the Greek god of thunder?,Zeus,Poseidon,Hades,Zeus
What is the capital of South Korea?,Seoul,Beijing,Tokyo,Seoul
Which country is known as the Land of Fire and Ice?,Iceland,Greenland,New Zealand,Iceland
What is the chemical symbol for water?,H2O,CO2,O2,H2O
Who wrote "The Great Gatsby"?,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,F. Scott Fitzgerald
What is the main ingredient in hummus?,Chickpeas,Lentils,Black beans,Chickpeas
Which planet is known as the Evening Star or the Morning Star?,Venus,Mars,Jupiter,Venus
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Dorothy Crowfoot Hodgkin,Marie Curie
What is the capital of Germany?,Berlin,Munich,Hamburg,Berlin
What is the currency of Russia?,Russian Ruble,Dollar,Euro,Russian Ruble
Who wrote "The Catcher in the Rye"?,J.D. Salinger,John Steinbeck,Ernest Hemingway,J.D. Salinger
What is the chemical symbol for silver?,Ag,Au,Cu,Ag
What is the smallest country in the world?,Vatican City,Monaco,San Marino,Vatican City
Who is known as the "Queen of Pop"?,Madonna,Beyoncé,Rihanna,Madonna
What is the capital of India?,New Delhi,Mumbai,Bangalore,New Delhi
Which country is known as the Land of the Rising Sun?,Japan,China,Korea,Japan